76000 0.0028
80000 0.0056
83000 0.0111
84000 0.0139
85000 0.0167
87000 0.025
88000 0.0306
90000 0.0389
92000 0.0444
94000 0.05
95000 0.0556
96000 0.0611
97000 0.0639
98000 0.0722
99000 0.075
100000 0.0833
108000 0.0861
111000 0.0889
114000 0.0917
116000 0.0972
117000 0.1
119000 0.1028
120000 0.1056
121000 0.1083
123000 0.1111
139000 0.1139
142000 0.1167
146000 0.1222
147000 0.125
148000 0.1361
149000 0.15
150000 0.1583
151000 0.1694
153000 0.1833
154000 0.1889
155000 0.1917
156000 0.1972
157000 0.2028
158000 0.2111
159000 0.2194
160000 0.2361
161000 0.2556
162000 0.275
163000 0.2944
164000 0.3056
165000 0.3167
166000 0.3222
167000 0.3278
168000 0.3333
180000 0.3361
183000 0.3389
185000 0.3444
186000 0.35
187000 0.3611
188000 0.3639
189000 0.3722
190000 0.3806
191000 0.4111
192000 0.4278
193000 0.4528
194000 0.4694
195000 0.4972
196000 0.5333
197000 0.5667
198000 0.5917
199000 0.6361
200000 0.6611
201000 0.7083
202000 0.7361
203000 0.7583
204000 0.7889
205000 0.7944
206000 0.8056
207000 0.8194
208000 0.8278
209000 0.8389
210000 0.8417
211000 0.8444
212000 0.8611
213000 0.8694
214000 0.8722
215000 0.875
216000 0.8806
218000 0.8833
219000 0.8861
220000 0.8917
221000 0.8944
223000 0.8972
224000 0.9
226000 0.9028
227000 0.9056
229000 0.9083
230000 0.9167
231000 0.9222
232000 0.9306
233000 0.9444
234000 0.9556
235000 0.9639
237000 0.9694
238000 0.9722
240000 0.975
241000 0.9778
243000 0.9806
244000 0.9889
246000 0.9944
249000 0.9972
251000 1.0
