19000	0.0028
20000	0.0056
20750	0.0111
21000	0.0139
21250	0.0167
21750	0.025
22000	0.0306
22500	0.0389
23000	0.0444
23500	0.05
23750	0.0556
24000	0.0611
24250	0.0639
24500	0.0722
24750	0.075
25000	0.0833
27000	0.0861
27750	0.0889
28500	0.0917
29000	0.0972
29250	0.1
29750	0.1028
30000	0.1056
30250	0.1083
30750	0.1111
34750	0.1139
35500	0.1167
36500	0.1222
36750	0.125
37000	0.1361
37250	0.15
37500	0.1583
37750	0.1694
38250	0.1833
38500	0.1889
38750	0.1917
39000	0.1972
39250	0.2028
39500	0.2111
39750	0.2194
40000	0.2361
40250	0.2556
40500	0.275
40750	0.2944
41000	0.3056
41250	0.3167
41500	0.3222
41750	0.3278
42000	0.3333
45000	0.3361
45750	0.3389
46250	0.3444
46500	0.35
46750	0.3611
47000	0.3639
47250	0.3722
47500	0.3806
47750	0.4111
48000	0.4278
48250	0.4528
48500	0.4694
48750	0.4972
49000	0.5333
49250	0.5667
49500	0.5917
49750	0.6361
50000	0.6611
50250	0.7083
50500	0.7361
50750	0.7583
51000	0.7889
51250	0.7944
51500	0.8056
51750	0.8194
52000	0.8278
52250	0.8389
52500	0.8417
52750	0.8444
53000	0.8611
53250	0.8694
53500	0.8722
53750	0.875
54000	0.8806
54500	0.8833
54750	0.8861
55000	0.8917
55250	0.8944
55750	0.8972
56000	0.9
56500	0.9028
56750	0.9056
57250	0.9083
57500	0.9167
57750	0.9222
58000	0.9306
58250	0.9444
58500	0.9556
58750	0.9639
59250	0.9694
59500	0.9722
60000	0.975
60250	0.9778
60750	0.9806
61000	0.9889
61500	0.9944
62250	0.9972
62750	1.0
